Tick,Project,Traditional,Static
0,0.0,0.0,0.0
200,0.0,0.02694230663473718,899.1204530604155
400,0.0,1.1016143320885021,6293.493263054101
600,0.0,1.46067957644118,897.6022607402701
800,0.31117789367272053,91946.45385722932,16205.268111980957
1000,0.26391656359191984,147981.54061062442,45123.814653759604
1200,0.8280454860941973,176931.78504496955,47841.59319432611
1400,0.6958099386683898,205897.644881358,57790.44104616779
1600,1.7005038349016104,234897.75632301165,53286.429149410964
1800,1.1114268658857327,224044.27077350288,65950.427687692
2000,1.1280360528326128,215899.51154999732,66855.2874339635
2200,0.11913141004333738,281117.9698310599,84069.29610602505
2400,0.05182674355455674,334596.1204603604,94039.4889537792
2600,0.42569495174393523,435295.71884616005,99486.85533611482
2800,1.044780641590478,410831.34223374596,94056.642761966
3000,1.5420105593802873,303904.4529728776,79560.24261065511
3200,1.930852027508081,300281.1387816979,66881.55689791549
3400,1.9930289111944148,276740.56596204126,66887.03272244937
3600,0.8415814417530783,339275.5481911659,87738.25516712628
3800,2.845850424520904,290405.69158679276,63287.65949453345
4000,2.2865287063614232,290406.3235268991,66917.20325632476
4200,1.4602340148558142,367425.6081166214,75982.05268336194
4400,2.398155876537203,285926.9069257283,55153.5374851745
4600,2.0264744928863365,292282.7500952356,52439.046436300094
4800,1.1139383795816684,427499.8547116329,74237.79779018537
5000,0.2396437620918732,507577.27110873314,95168.6022919486
5200,0.4990731194993714,490291.3036347778,92439.23694763795
5400,1.3946392498910427,401198.2112632642,75165.14944125613
5600,0.7573748041177168,424855.42935703445,77897.7256492782
5800,1.1054210187139688,398487.39112654945,68805.53514777441
6000,0.5132905231730547,408492.9238266384,77902.46694137523
6200,0.679753388845711,430332.1330873923,77906.29636371415
6400,0.2714588622911833,446720.4857380603,81554.76698993798
6600,0.5161957120290026,471297.2782543472,75185.46105110162
6800,0.12448779288388323,473120.98551532376,80651.07150545888
7000,0.3441870089591248,483133.1890783834,82473.3118410533
7200,0.3756449779320974,582443.9901668516,95228.55321511495
7400,1.0302544285659678,498706.40588233894,87037.79365119842
7600,0.051794520040857606,560658.7019082046,102529.28927267998
7800,0.8388025301683228,558867.0145169739,83406.31609587581
8000,1.2330880858789897,498803.07965423976,77950.67195099202
8200,1.749124375055544,433323.8727171363,67043.7931991756
8400,1.3641986544243991,515276.8514378861,74334.72614419096
8600,0.48578868138429243,537169.2406735719,89822.87102521598
8800,0.9508911115699448,481695.8996069147,88916.16292063709
9000,1.402456276016892,455309.54787644744,84371.53799033718
9200,0.2978151485149283,563733.3733825404,110803.49312439763
9400,0.38145904570410494,587439.6939295215,117191.30256858525
9600,0.5268690813099965,587439.8383859744,122670.34856689344
9800,1.3537834367598407,470793.3965921472,109000.35984758598
10000,0.735907393231173,557438.2017245779,119954.46678207169
10200,2.2947537865838967,474556.3214501091,108113.22264251523
10400,1.2445667487190804,469087.6348092514,118133.77307501735
10600,2.1625785795913544,531193.5508388232,113593.64365977272
10800,4.114291351099382,471104.87628519116,96295.82659455127
11000,7.8152827325538965,289523.7416184195,57256.18805945305
11200,7.403763476817403,256905.0373095377,59988.06224267918
11400,8.658161940475111,213502.43835149417,46405.89990688846
11600,9.384609426284442,204453.40436044522,27388.69131986059
11800,8.979733109488734,225293.4904407164,30103.955163136605
12000,6.5735114031267585,350519.5534931241,48259.016912939886
12200,6.81059504802397,339635.8833216007,38274.72604569036
12400,6.471269587738789,363281.43867787777,44638.58196990364
12600,6.490479124113335,380538.90835607855,46454.56269020923
12800,7.58036585530499,249906.45628688065,28308.94530763135
13000,5.277276742330287,297202.4262061282,44677.498525235584
13200,6.038854403421283,317202.7263691657,30149.548260167925
13400,5.0398474467219785,377196.93095683877,49243.2839444148
13600,6.381941658182768,422663.64430174057,34712.15397021684
13800,2.7339734360284638,283356.7913768693,28406.097394954326
14000,905.1488406627323,263484.08888182853,32931.44706809771
14200,2712.874277664436,348567.48536447535,39635.191133409244
14400,4575.588441988264,445080.20330591104,56377.1498408622
14600,4567.170237380866,437637.8961774069,37815.571962778704
14800,4561.994487332398,393290.02389611985,18410.64552036213
15000,4558.438216128023,361926.32146319735,10111.569659883302
15200,4568.301878998565,443517.9953600929,32368.658112972917
15400,4566.242325259329,422208.7248095423,26816.727151489453
15600,5498.7767498631,506621.9158367443,31455.93342999769
15800,5502.926959529999,573498.0541046154,50971.0269736294
16000,5498.410120134344,568854.4708397591,37977.298560286814
16200,5497.892916057943,498347.53179593943,31485.397786789457
16400,5499.154087988194,571709.5696344473,34276.159370173045
16600,5497.365303516024,515112.80445914355,32422.113397062
16800,5496.116912284022,515115.3012416076,23150.19848905527
17000,5495.898263410636,504914.4512012765,18513.24228457021
17200,5495.532306246867,504915.18311560404,20368.25054338378
17400,5495.429354004067,500291.9828643551,9248.772482471308
17600,5497.4707455968455,502147.62508473743,19453.461506969266
17800,5480.5720695286,419917.24222631915,4694.764919400943
18000,5480.333093237656,367433.16135448334,26748.219207614224
18200,5476.0288356714445,322277.0448123566,13862.803900127445
18400,5475.281184989246,267051.29414598877,8339.42121122696
18600,5470.19784048271,187953.08659859584,918.5532987329352
18800,5471.956451697071,191628.60750523317,10117.392230344034
19000,5480.352901669525,343707.7046454394,45159.93426086554
19200,5481.608522244103,389856.1492372737,50701.441627029155
19400,5481.677504496241,374178.1466829274,50710.66221271372
19600,5481.760941302084,398177.34257610084,46094.80859354969
19800,5482.323489495058,405563.0668468104,49787.65018991349
20000,5481.832089178526,393564.52707730193,46094.56331681064
20200,5489.237261183851,510086.28549509234,63671.05248527136
20400,5486.348082201599,484251.5562932503,58130.970909199954
20600,5478.00250981978,406747.7234316551,27697.900536767935
20800,5483.761208643293,440103.44143092254,50786.77860499064
21000,5484.3898596236395,441027.3281879878,53561.05841102336
21200,5490.152961195141,466947.9650831249,63764.670477578635
21400,5493.083747290424,471586.33073679515,69319.25227405768
21600,5490.580022060327,435502.38457860635,57295.23878312847
21800,5489.358628598595,362389.8940751839,56370.12214622581
22000,5488.785063406802,330017.2351204881,49895.67635700056
22200,5488.745947560266,354080.5671370237,46203.68119908574
22400,5488.764484452127,343903.0455178489,42505.263182908646
22600,5486.431220251528,281955.74095787987,27710.026137127832
22800,5487.296974247583,354132.27085336327,36965.067597963236
23000,5491.92247184772,388432.1450001511,51780.63383109667
23200,7366.808723398324,507471.9701067429,68510.47175775083
23400,7374.7227241753135,570900.466662988,84352.15823005448
23600,7379.873643074854,572773.6172600128,103932.68149723408
23800,7397.328977807556,682232.9577813348,122663.87886688765
24000,7395.721213048979,658844.293584637,105823.33885658688
