Tick,Project,Traditional,Static
13800,2708.8716026698676,-50544.110739121534,13832.063126964116
14000,1808.4333637886157,-30671.40824408077,9306.713453820732
14200,0.7079267869121395,-115754.80472672758,2602.9693885091983
14400,-1862.0062375369162,-212267.5226681633,-14138.989318943757
14600,-1853.5880329295178,-204825.21553965914,4422.588559139738
14800,-1848.4122828810505,-160477.3432583721,23827.515001556312
15000,-1844.8560116766748,-129113.64082544959,32126.59086203514
15200,-1854.7196745472174,-210705.31472234515,9869.502408945526
15400,-1852.660120807981,-189396.04417179455,15421.43337042899
15600,-2785.194545411752,-273809.23519899655,10782.227091920751
15800,-2789.3447550786514,-340685.3734668676,-8732.866451710957
16000,-2784.827915682996,-336041.7902020113,4260.861961631628
16200,-2784.310711606595,-265534.8511581917,10752.762735128985
16400,-2785.571883536846,-338896.8889966996,7962.001151745397
16600,-2783.783099064676,-282300.1238213958,9816.047124856443
16800,-2782.534707832674,-282302.62060385983,19087.96203286317
17000,-2782.316058959288,-272101.77056352876,23724.918237348233
17200,-2781.950101795519,-272102.5024778563,21869.909978534663
17400,-2781.847149552719,-267479.30222660734,32989.388039447134
17600,-2783.8885411454976,-269334.9444469897,22784.699014949176
17800,-2766.989865077252,-187104.5615885714,37543.3956025175
18000,-2766.7508887863078,-134620.48071673556,23677.432641204738
18200,-2762.4466312200966,-89464.36417460881,36562.84794869152
18400,-2761.698980537898,-34238.61350824103,42086.230637592
18600,-2756.6156360313616,44859.59403915191,66001.66060058895
18800,-2758.3742472457234,41184.073132514575,56803.43584669696
19000,-2766.770697218177,-110895.02400769167,21760.89381617545
19200,-2768.0263177927554,-157043.46859952598,16219.386450011836
19400,-2768.0953000448935,-141365.46604517964,16210.165864327268
19600,-2768.1787368507357,-165364.6619383531,20826.019483491298
19800,-2768.7412850437104,-172750.38620906262,17133.177887127502
20000,-2768.249884727178,-160751.84643955418,20826.264760230348
20200,-2775.655056732503,-277273.6048573446,3249.775591769634
20400,-2772.765877750251,-251438.87565550252,8789.857167841037
20600,-2764.4203053684323,-173935.04279390734,39222.92754027306
20800,-2770.179004191945,-207290.7607931748,16134.049472050348
21000,-2770.8076551722916,-208214.64755024004,13359.76966601763
21200,-2776.570756743793,-234135.28444537712,3156.1575994623563
21400,-2779.501542839076,-238773.6500990474,-2398.4241970166913
21600,-2776.997817608979,-202689.7039408586,9625.589293912519
21800,-2775.776424147247,-129577.21343743618,10550.70593081518
22000,-2775.202858955454,-97204.55448274035,17025.151720040434
22200,-2775.1637431089184,-121267.88649927598,20717.146877955252
22400,-2775.1822800007794,-111090.3648801012,24415.564894132345
22600,-2772.8490158001805,-49143.06032013211,39210.80193991316
22800,-2773.7147697962355,-121319.5902156155,29955.760479077755
23000,-2778.340267396372,-155619.4643624034,15140.194245944323
23200,-4653.226518946976,-274659.2894689952,-1589.6436807098362
23400,-4661.140519723966,-338087.7860252402,-17431.330153013492
23600,-4666.291438623506,-339960.936622265,-37011.85342019309
23800,-4683.746773356208,-449420.277143587,-55743.05078984665
24000,-4682.139008597631,-426031.61294688925,-38902.51077954589
24200,-4687.514202762715,-375545.6161825112,-40785.665132987975
24400,-4702.337257948297,-479725.2865196992,-49300.94767711827
24600,-6599.598136208049,-527879.0365439752,-34264.80070426807
24800,-4671.287234836898,-433609.4471267809,-36155.353524598664
25000,-2794.471082739925,-329330.4684578527,-23120.366260786774
25200,-2789.851298499285,-285636.5365035494,-11034.035972418802
25400,-2785.3801337571495,-216914.54279262916,13122.277902244998
25600,-2785.3660463951237,-268969.8842129836,19607.924830515127
25800,-2789.092953241445,-300645.9258039187,-2716.2545376082708
26000,-2787.4987708027475,-283913.4483411226,71.93857532275433
26200,-2783.3954748639662,-230091.47024941843,7494.3522292828275
26400,-2790.4393051086226,-310062.95636537793,-11098.588245676845
26600,-2790.4358661656297,-309140.3053389557,-24122.84750451267
26800,-4708.724850639337,-403138.22378222784,-37302.667833275176
27000,-2816.185194975478,-372178.9103951248,-51409.04948436747
27200,-2818.140807620279,-372177.6066533616,-57035.68770672558
27400,-2819.096162118629,-423796.31462584133,-62669.44926519494
27600,-2818.718011926001,-387229.28380712314,-57978.96789918288
27800,-2820.256178191863,-505551.73297224037,-73013.53953346697
28000,-2820.0609465928865,-472709.055015544,-66448.03848428934
28200,-2821.8161688000982,-543167.5155466722,-78658.65786147665
28400,-2821.5375612049975,-484024.9364839984,-73967.83134945248
28600,-2822.7183801230567,-523479.7409625021,-85240.17918825637
28800,-2822.9101642505557,-551668.8282707885,-88063.6066484362
29000,-2823.404160637292,-586447.8564154321,-84315.78983568322
29200,-2822.4692814084265,-582688.9657189501,-85254.85530734622
29400,-2822.461601761286,-607121.5787395793,-86199.50417834039
29600,-2825.0100960876007,-603389.0052374867,-96541.23430859935
29800,-2826.823455280537,-687119.9827665377,-95608.38841728012
30000,-2825.874856211143,-688059.2282620084,-88093.93768532152
30200,-2827.8613503947417,-696538.1284779264,-96576.67710031861
30400,-2827.331351221859,-671153.414525414,-110690.47342088853
30600,-2828.4591624507593,-708797.3604214813,-114465.04547701056
